电影名称,上映时间,票房,场均人次,上座率,排片率,场次,票房数
哪吒之魔童闹海,上映首日,4.87亿,80.4,58.1%,23.2%,117978,48751.15
唐探1900,上映首日,4.65亿,78.1,65.3%,23.0%,116971,46581.32
封神第二部：战火西岐,上映首日,3.83亿,68.2,56.2%,21.1%,107121,38348.50
射雕英雄传：侠之大者,上映首日,2.58亿,63.2,55.6%,16.0%,81184,25858.50
熊出没·重启未来,上映首日,1.38亿,62.8,51.9%,8.6%,43609,13824.78
蛟龙行动,上映首日,9474.3万,36.2,41.9%,7.6%,38964,7413.60
地球脉动：极境生存,,444.2万,161.2,--,<0.1%,14,7.74
误杀3,上映33天,9.29亿,16.5,11.1%,<0.1%,100,6.55
“骗骗”喜欢你,上映30天,4.43亿,22.3,16.9%,<0.1%,91,5.36
误判,上映34天,2.70亿,31.7,19.9%,<0.1%,37,4.56
天龙押运,上映41天,25.3万,55.7,54.9%,<0.1%,12,2.69
刺猬索尼克3,上映20天,4387.4万,14.0,11.2%,<0.1%,38,1.74
小小的我,上映34天,7.65亿,11.5,10.9%,<0.1%,38,1.73
狮子王：木法沙传奇,上映41天,1.22亿,16.1,12.8%,<0.1%,28,1.71
雄狮少年2,上映47天,8037.5万,19.0,13.0%,<0.1%,20,1.50
火锅艺术家,上映27天,5901.7万,15.7,10.7%,<0.1%,36,1.41
名侦探柯南：迷宫的十字路口,上映34天,1.47亿,12.4,15.2%,<0.1%,27,1.10
破·地狱,上映47天,2.10亿,26.0,33.8%,<0.1%,10,0.91
帕丁顿熊3：秘鲁大冒险,上映29天,4554.5万,14.2,13.4%,<0.1%,19,0.88
加拉帕戈斯：自然的仙境,展映,94.4万,185.0,55.5%,<0.1%,1,0.79
假爸爸,上映20天,4049.1万,19.2,22.0%,<0.1%,16,0.71
北极荒原,展映,190.4万,150.0,44.7%,<0.1%,1,0.64
窗前明月，咣！,上映30天,3975.0万,10.9,12.7%,<0.1%,8,0.31
超级的我,,1228.8万,5.3,--,<0.1%,8,0.16
碟仙玩偶,上映20天,339.8万,2.7,2.3%,<0.1%,12,0.10
好东西,上映69天,7.21亿,8.0,17.5%,<0.1%,2,0.06
波提切利，佛罗伦萨和美第奇家族,上映48天,221.3万,7.0,5.8%,<0.1%,1,0.04
恶行之外,上映19天,1363.7万,0.7,1.5%,<0.1%,14,0.03
大红包2：龙凤呈祥,上映20天,237.4万,0.4,1.1%,<0.1%,10,0.01
直播惊魂夜,上映30天,78.9万,2.0,1.3%,<0.1%,2,0.01
穿越时空的少女,上映19天,813.5万,1.0,0.6%,<0.1%,2,0.00
莫莉的冒险,上映12天,34.8万,0.3,0.2%,<0.1%,3,0.00
小英雄雨来,上映20天,2.8万,1.0,--,<0.1%,1,0.00
只此青绿,,5199.5万,0.0,--,<0.1%,1,0.00
张杰曜北斗巡回演唱会（舞台纪录电影）,上映41天,4677.2万,0.0,--,<0.1%,2,0
真爱找麻烦！,上映12天,454.3万,0.0,0.2%,<0.1%,4,0
蓦然回首,上映96天,5389.3万,0.0,--,<0.1%,1,0
好运来,上映61天,6269.3万,0.0,--,<0.1%,1,0
危机航线,,3.00亿,0.0,--,<0.1%,1,0
灶王传,上映5天,27.4万,0.0,--,<0.1%,1,0
海洋奇缘2,上映62天,1.11亿,0.0,--,<0.1%,2,0
去唱卡拉OK吧！,上映13天,387.2万,0.0,--,<0.1%,1,0
最后的告别,上映40天,23.0万,0.0,--,<0.1%,1,0
冰雪·情缘,上映31天,1.2万,0.0,--,<0.1%,3,0
