日期,电影名称,上映时间,票房,场均人次,上座率,排片率,场次,票房数
2025-02-01,哪吒之魔童闹海,上映4天,23.18亿,77.4,53.6%,38.2%,183711,73157.33
2025-02-01,唐探1900,上映4天,15.41亿,48.8,39.8%,26.9%,129195,31972.72
2025-02-01,封神第二部：战火西岐,上映4天,8.27亿,28.0,27.6%,13.0%,62533,9009.02
2025-02-01,熊出没·重启未来,上映4天,3.64亿,29.7,29.3%,9.0%,43253,6230.99
2025-02-01,射雕英雄传：侠之大者,上映4天,5.15亿,26.5,26.8%,6.5%,31581,3926.17
2025-02-01,蛟龙行动,上映4天,2.10亿,20.8,25.3%,5.9%,28809,3127.09
2025-02-02,哪吒之魔童闹海,上映5天,31.31亿,76.9,52.7%,43.5%,206814,81278.47
2025-02-02,唐探1900,上映5天,18.24亿,45.9,38.9%,25.8%,122677,28282.71
2025-02-02,封神第二部：战火西岐,上映5天,8.96亿,26.7,27.9%,10.7%,50933,6899.93
2025-02-02,熊出没·重启未来,上映5天,4.18亿,28.4,28.6%,8.3%,39748,5404.52
2025-02-02,蛟龙行动,上映5天,2.40亿,20.8,25.3%,5.8%,27810,2993.39
2025-02-02,射雕英雄传：侠之大者,上映5天,5.44亿,24.1,25.7%,5.3%,25346,2875.85
2025-02-03,哪吒之魔童闹海,上映6天,39.75亿,75.0,51.2%,47.5%,222314,84362.91
2025-02-03,唐探1900,上映6天,20.64亿,41.4,36.3%,24.8%,116067,23989.95
2025-02-03,封神第二部：战火西岐,上映6天,9.49亿,24.0,26.1%,9.3%,43943,5355.89
2025-02-03,熊出没·重启未来,上映6天,4.65亿,26.2,26.7%,8.0%,37599,4677.33
2025-02-03,蛟龙行动,上映6天,2.66亿,21.0,25.3%,5.3%,25038,2638.93
2025-02-03,射雕英雄传：侠之大者,上映6天,5.67亿,23.3,25.5%,4.5%,21324,2293.43
2025-02-04,哪吒之魔童闹海,上映7天,48.41亿,75.7,51.9%,49.7%,228732,86672.30
2025-02-04,唐探1900,上映7天,22.79亿,39.7,35.8%,23.8%,109568,21455.96
2025-02-04,封神第二部：战火西岐,上映7天,9.97亿,23.7,26.2%,8.6%,39871,4801.57
2025-02-04,熊出没·重启未来,上映7天,5.08亿,25.5,26.2%,7.8%,36289,4341.66
2025-02-04,射雕英雄传：侠之大者,上映7天,5.91亿,26.8,29.2%,4.3%,19812,2457.62
2025-02-04,蛟龙行动,上映7天,2.90亿,20.3,24.6%,5.2%,24161,2420.64
2025-02-05,哪吒之魔童闹海,上映8天,54.91亿,61.4,42.0%,50.8%,220755,64956.75
2025-02-05,唐探1900,上映8天,24.16亿,29.0,26.5%,23.2%,100876,13764.94
2025-02-05,熊出没·重启未来,上映8天,5.38亿,19.1,19.8%,7.9%,34599,2990.59
2025-02-05,封神第二部：战火西岐,上映8天,10.26亿,16.0,17.6%,8.4%,36621,2842.30
2025-02-05,蛟龙行动,上映8天,3.05亿,13.7,16.5%,5.4%,23598,1502.01
2025-02-05,射雕英雄传：侠之大者,上映8天,6.00亿,11.3,13.3%,3.6%,16042,842.69
2025-02-06,哪吒之魔童闹海,上映9天,60.77亿,55.2,37.7%,52.1%,223113,58598.61
2025-02-06,唐探1900,上映9天,25.24亿,23.9,22.0%,22.5%,96393,10742.31
2025-02-06,熊出没·重启未来,上映9天,5.64亿,16.3,17.0%,8.1%,34671,2534.44
